RMSE,MAE,SMAPE,R2,variant,test_battery
0.07157987932911095,0.06162532459085771,23.465944909793343,0.9431912256431596,SAN_TCN_3SVR,B0005
0.09293112470029415,0.07904212919742433,27.998096351284683,0.9042462299488221,NoSAN_TCN_3SVR,B0005
0.10567122661296595,0.08925893483080719,29.98901988761735,0.8761924889113853,PCA_TCN_3SVR,B0005
0.09146221054979457,0.07941659115195726,28.113666265246177,0.9072493668471644,WHITEN_TCN_3SVR,B0005
0.09291092093265924,0.07902595867430162,27.98881515259249,0.9042878602773323,SAN_noTCN_3SVR,B0005
0.1453013920584439,0.1300908198652993,35.723218662324555,0.7659152907720856,SAN_TCN_1SVR,B0005
0.07555493567649402,0.0662750011616365,24.88440039761509,0.9367064906542295,SAN_TCN_3SVR,B0006
0.09733052973168448,0.08360930428324596,29.332267616698022,0.8949655731698064,NoSAN_TCN_3SVR,B0006
0.09340133551585993,0.08404622189181854,29.618204400242742,0.9032747929770688,PCA_TCN_3SVR,B0006
0.09310546232931237,0.08117927036684817,27.79792922184841,0.9038866272069194,WHITEN_TCN_3SVR,B0006
0.0972208442800839,0.08354902377277981,29.2889801855487,0.8952021743059309,SAN_noTCN_3SVR,B0006
0.1306862630265003,0.1062397314986908,31.1191468292859,0.8106377633219847,SAN_TCN_1SVR,B0006
0.08981325560582316,0.07630079430266672,27.24620844525592,0.910563586707282,SAN_TCN_3SVR,B0007
0.09741833671082396,0.08109329920406444,27.698595643376613,0.8947759735463987,NoSAN_TCN_3SVR,B0007
0.08217037692411974,0.07119208102617998,25.916021915839003,0.9251375469088221,PCA_TCN_3SVR,B0007
0.10996469923328485,0.09201956649740575,28.570583720023667,0.8659273859159737,WHITEN_TCN_3SVR,B0007
0.09754719105928066,0.08118738685949436,27.713580905110707,0.8944974317291262,SAN_noTCN_3SVR,B0007
0.1503818090624816,0.13060823828328832,38.785607784578346,0.7492597204692166,SAN_TCN_1SVR,B0007
0.07108469243951893,0.06160515315587805,25.12323693725017,0.9374590285219203,SAN_TCN_3SVR,B0018
0.09118102507552545,0.07442201674690802,28.03542418122598,0.8970985756444785,NoSAN_TCN_3SVR,B0018
0.08609447742346495,0.07353642813612203,27.485473808937467,0.9082590919975931,PCA_TCN_3SVR,B0018
0.09205088982683189,0.0788383388075913,28.56999961054442,0.8951258563210547,WHITEN_TCN_3SVR,B0018
0.09104111247562145,0.07429088085530795,28.0128684414745,0.8974141272609919,SAN_noTCN_3SVR,B0018
0.17157582293016435,0.13934453815087683,41.116378507935636,0.6356450896640965,SAN_TCN_1SVR,B0018
0.11953042087666642,0.09732080804834169,30.718206125185386,0.8278859460715795,SAN_TCN_3SVR,B0025
0.11579172507672146,0.09679448659684052,32.529666139207784,0.8384843963534203,NoSAN_TCN_3SVR,B0025
0.11623169378336368,0.09699454930817775,41.49128595145242,0.8372546570710067,PCA_TCN_3SVR,B0025
0.1102228606422882,0.09281787274890571,33.17637638977829,0.8536466078175795,WHITEN_TCN_3SVR,B0025
0.1158020370083136,0.09683027921597712,32.54652887863834,0.838455627250659,SAN_noTCN_3SVR,B0025
0.3327065731302773,0.26655377013542736,56.47277236181328,-0.3334667738958561,SAN_TCN_1SVR,B0025
0.12499933692833795,0.100416022125235,33.82109029863021,0.8117760621459239,SAN_TCN_3SVR,B0026
0.10931618890801503,0.0898290454546432,31.68865883583917,0.8560444538483672,NoSAN_TCN_3SVR,B0026
0.12084404434508918,0.09361476405127189,31.76464975849322,0.8240821373810565,PCA_TCN_3SVR,B0026
0.10794415407192122,0.09128948957210437,32.775065718869065,0.8596353681087842,WHITEN_TCN_3SVR,B0026
0.11418052680087022,0.09417360061389919,32.09320478246893,0.8429479819026107,SAN_noTCN_3SVR,B0026
0.401798597218445,0.33785133609310297,67.23454159033017,-0.9448059250222249,SAN_TCN_1SVR,B0026
0.11297000048029208,0.09481198256404343,32.534109997210805,0.8462604173433804,SAN_TCN_3SVR,B0027
0.11297000048029208,0.09481198256404343,32.534109997210805,0.8462604173433804,NoSAN_TCN_3SVR,B0027
0.11185933230573279,0.09054828386065221,31.687491016706016,0.8492685482783242,PCA_TCN_3SVR,B0027
0.1055732495943481,0.08971592334642646,32.54011301102519,0.8657336398573452,WHITEN_TCN_3SVR,B0027
0.11311686706543515,0.09497068094687788,32.557962784434004,0.8458604193890031,SAN_noTCN_3SVR,B0027
0.3880886835868138,0.30912131588958636,62.142803722210566,-0.8143513614887188,SAN_TCN_1SVR,B0027
0.12395923088748928,0.10194890069971094,33.1386128921986,0.8148954123304758,SAN_TCN_3SVR,B0028
0.1133496025757905,0.09396645015364838,31.841916071085564,0.8452254891681088,NoSAN_TCN_3SVR,B0028
0.1126056983769148,0.09298059062836196,32.12151735296316,0.8472503677237863,PCA_TCN_3SVR,B0028
0.1088862207656207,0.09204780111236759,32.74891561949907,0.8571746537301246,WHITEN_TCN_3SVR,B0028
0.11340492160764987,0.09400860034740677,31.858498615333527,0.8450743802944924,SAN_noTCN_3SVR,B0028
0.3327936600158113,0.2746824313747357,59.36194412816758,-0.33416494264891305,SAN_TCN_1SVR,B0028
0.12217525087915046,0.09795316788137484,33.115224792708815,0.8273650085466502,SAN_TCN_3SVR,B0029
0.1147364111512405,0.0944524116780864,34.76551629449659,0.8477473461104654,NoSAN_TCN_3SVR,B0029
0.1145592183019923,0.0929095939884986,44.26584633623677,0.8482172448900449,PCA_TCN_3SVR,B0029
0.09386828852177063,0.07986800899741017,30.97921962884188,0.8980939078621776,WHITEN_TCN_3SVR,B0029
